Year,Month,Site,Var.1,Var.2,Var.3
2018,5,3,27.96347709,1443.517283,87.65091184
2018,6,1,240.015429,12760.48405,-156.9391326
2018,6,1,257.4885875,4593.748185,76.4164762
2018,6,1,716.1967363,1494.993157,-72.69016467
2018,6,1,167.2104724,2654.720818,34.64099919
2018,6,1,73.89153857,2286.796902,56.87900845
2018,6,1,141.3068174,378.3315888,3.973707958
2018,6,1,47.60318701,1498.924684,139.1617726
2018,6,1,161.6623443,-531.4851383,-7.176770688
2018,6,2,58.99656907,962.1914218,-25.57285608
2018,6,2,45.2746382,924.2231012,84.72316739
2018,6,2,40.04297311,831.406745,-6.314800928
2018,6,2,121.0611214,590.6026707,49.27082263
2018,6,2,174.9754092,5785.502104,-1.214206899
2018,6,2,124.7545393,8392.045941,19.85707369
2018,6,2,NA,727.0224172,0.950773927
2018,6,2,225.5021088,1821.076001,-33.60976175
2018,6,3,435.8693789,801.6288412,12.21346524
2018,6,3,35.71447567,944.6746407,20.82428465
2018,6,3,53.88959612,108.1912021,38.44984574
2018,6,3,69.96078367,466.8316532,-0.487946071
2018,6,3,128.854044,1570.259121,-26.99651639
2018,6,3,62.18039728,29.1346222,-35.45086523
2018,6,3,66.78482822,-119.8789853,-45.98467208
2018,6,3,48.91995036,687.1979774,-6.908818549
2018,7,1,69.95649155,74.51259318,253.1023557
2018,7,1,319.1801437,1351.036329,194.6670673
2018,7,1,125.3161881,140.5391004,202.7506052
2018,7,1,136.4684159,2572.953652,20.35779732
2018,7,1,141.9434675,485.5105254,271.7176718
2018,7,1,132.2704845,55.64886456,-27.6867733
2018,7,1,124.2372942,296.1875129,182.7342924
2018,7,1,155.3638655,319.7081786,151.4766412
2018,7,2,57.47607877,181.1614271,12.5654712
2018,7,2,-133.821817,-358.0388965,151.2784437
2018,7,2,102.8703765,160.0766946,1.551420872
2018,7,2,177.8744796,218.1471067,42.18483048
2018,7,2,200.8179185,401.5600531,-23.72746133
2018,7,2,170.012115,267.0900762,-25.05537151
2018,7,2,197.1896104,-300.6413871,34.58333365
2018,7,2,30.11508029,180.9212938,-66.40203314
2018,7,3,209.2752178,801.6069556,146.2542145
2018,7,3,305.0144057,507.1542864,-147.737564
2018,7,3,130.7972222,231.1700688,-100.1427073
2018,7,3,47.02493866,2264.044065,-63.46687327
2018,7,3,291.8668712,2163.393184,222.8567006
2018,7,3,190.6321021,594.757164,-38.0883458
2018,7,3,389.2666676,581.3524858,9.614026579
2018,7,3,180.8772227,941.2072923,-10.19502188
2018,8,1,132.9011565,76.7361182,-45.62229712
2018,8,1,234.7478174,-341.6435274,-31.02524739
2018,8,1,58.72314803,731.000584,10.20101849
2018,8,1,592.91898,195.6604451,103.3906724
